Reviews,Title,URL,content,楼主,Time
9,,/p/8528234884,有没有大佬有原图求原图阿里嘎多,傲娇琴,2023-8-14
1,收藏吧很难找,/p/8550024385,才开的新区，不一样的体验，苹果安卓电脑平板四端互通，都可以玩，进去带氛围，其他我来负责，楼下找我去最顶级（苮）（俠）（手）（游）,贴吧用户_...,2023-8-14
138,[汇总]艾恩格朗特目前已知BOSS资料,/p/4566108965,在此之前，也有不少人做过此类盘点，我会将我手上的资料与看到的资料进行汇总，感谢前辈们的收集,翼走天下,2023-8-13
36,求助亚丝娜头发是什么颜色,/p/8537329208,比栗色亮一点黄一点是啥色,横眉冷对...,2023-8-13
21,最近在补刀剑爱丽丝篇，有个问题想请教一下,/p/8526588029,为什么诗乃的弓在这会变成枪啊？,阿西iii,2023-8-13
106,小说有写sao颜值第一的玩家是谁吗,/p/8527486641,亚丝娜前五名，那大概率不是第一了,王牌飞行...,2023-8-13
2,心血来潮，看刀剑刀剑最新一部动画对应第几卷?,/p/8548167127,心血来潮，看刀剑刀剑最新一部动画对应第几卷?,果海鸟cp,2023-8-12
2,这个脚是不是画崩了,/p/8545498508,如题，这个脚画的。。,星星之火A...,2023-8-12
15,寻找记忆的美图,/p/8408278020,小时候看过的一张图，怎么也找不到了，寻求8u的帮助，，大概是亚丝娜站着，有点仰视的感觉，整体色调较暗，一只手拉着手胖次特别色，好像是裸足,🈚️id🈚️,2023-8-12
3,这算不算全套刀剑神域漫画了,/p/8547388592,日版很多本刀剑神域漫画,阿宙啊,2023-8-12
3,挡刀我记得是突破系统限制了啊，跟项链有什么关系啊,/p/8459685715,项链等级也才五级，管理员给的麻痹应该是最高的吧,结城明日...,2023-8-12
2,万能的吧友有没有这图的无字版,/p/8459799034,,余吃故事,2023-8-12
11,,/p/8545386983,,祁柒七,2023-8-12
2,.....,/p/8543895721,"我看完异界战争篇那一段删除亚丝娜在UR世界两百年记忆这里其实也是一个伏笔,因为ur世界本身而言就不是一个游戏是培养灵魂的地方那怕外面删了里面的世界也未必删的干净而且新的UR篇到最后也有可能是一个桐亚熟悉的人把这段记忆给亚丝娜,而且后面的剧情谁也不知道作者这么写可能后面又跳出来一个女儿给亚丝娜记忆呢",秋芐,2023-8-12
6,刀剑神域c95  c99 设定集分镜 原稿画集,/p/8554377466,rt 作画总监督铃木豪 足力慎吾 原稿分镜 稀有物品分享,塔尔QAQ,2023-8-21
13,刀剑原作TV动画大概什么时候会出,/p/8537794023,最近几年全是剧场版捏,豆鲨包_,2023-8-21
1,b站的爱丽丝手办，全新未拆。,/p/8561098448,pdd买figma发错了出了回血。楼下闲鱼号。,桐谷玲子,2023-8-20
88,刀剑神域 台湾角川十周年纪念典藏版 开箱帖 持续更新,/p/6335544229,LZ闲着**买了套刀剑神域的十周年纪念版，在这里做开箱帖，纪念版海报原图镇楼,RE,2023-8-20
9,这是错版了吗,/p/8559734818,26册买回来快半年了一直没看，明天该开学了打算那学校看结果发现有问题这个褶皱，叠着是正好跟别的尺寸一样的，展开这一页就大了,Argo🍂,2023-8-20
2,进击篇第八册的电子版在哪里找家人们,/p/8559772538,,雪野原,2023-8-19
4,求爱丽丝篇网盘资源,/p/8559658810,,冰,2023-8-20
10,刀剑神域UR篇还有吗,/p/8453940044,话UR篇是最后一篇那这个后还有吗会不会就是把UR这个题目接着写才说最后一篇的呢,秋芐,2023-8-20
91,目前看到25卷，對UR的評語,/p/7276216112,因为现阶段没看到有人发对UR的感想，所以想说来发一下 基本UR篇，采用的是群像剧、转换三世界观(现实、UR、UW)的方式，来进行叙事。 而主线方面也采用了双主线的方式(UR、UW)来进行。 可以说，在这篇章，川原的笔法相较以往进步了许多。 不管是设定方面，还是群像叙事方面，都感受到了巨大的进步。 目前感受类似于加速世界采用的笔法。 而如果要说UR有什么特点存在，那可能就是爆点本身，资讯量本身过于庞大，以及牵扯到很多东西。 特别是,静夜防,2023-8-20
6,标题五个字,/p/8434227596,有吧群嘛,しきめ...,2023-8-20
19,标题六个字吧,/p/8529709173,桐人和亚丝娜见过家长吗？ 隔壁Re：0的大罪司教镇楼～～,不冲了,2023-8-19
6,进击篇外号“乔”的人是不是就是强尼•布莱克？,/p/8535644645,进击篇一直没出现真名、外号“乔”的人是不是就是强尼•布莱克？武器都是小刀，一直在陷害桐人,冥王哈迪...,2023-8-19
25,据说桐人和亚丝娜结婚了……,/p/8496944206,图片看还真有夫妻相,木水mszy2021,2023-8-19
1,刷淘宝时发现了一个帅的有点惊人的桐人,/p/8558468359,,凸凸09,2023-8-19
188,我就想问，进击篇这么亲密了，后面还怎么分道扬镳,/p/8509240543,一个去做副团长，一个继续做黑衣大侠,大学懒人...,2023-8-14
306,最近看到吧内有几贴讨论关于游戏角色的贴子，貌似部分的吧友不知,/p/7048179446,最近看到吧内有几贴讨论关于游戏角色的贴子，貌似部分的吧友不知道这些在游戏登场的原创角色，于是楼主决定开一贴，来向不了解的吧友简单的介绍这些游戏的原创角色 以这些角色在游戏中的部分表现，角色性格，使用武器，一些趣事，也会尽量不剧透的进行介绍,MSZ006 小宇,2023-8-19
92,桐人和亚丝娜会不会在现实结婚？,/p/8493051136,想看桐人和亚丝娜在现实结婚的剧情,洛可汗,2023-8-18
2,刀剑神域小说只看SAO篇的话 只用买小说1～2和进击篇吗,/p/8557332244,,贴吧用户_...,2023-8-18
10,刀剑有啥新手游没,/p/8553395262,记忆重组和ars都关服了，关键斗士不是很想玩。lz没啥空就想挂挂机抽抽卡，之前想玩点刀剑相关然后惊喜发现ars关服了，最近瘾又犯了但没得玩 最喜欢的一张镇楼,凸凸09,2023-8-17
12,刚看完UR5，感觉川原老贼最近的书一本比一本薄,/p/8541043338,,某科学的...,2023-8-17
7,新吧友提问,/p/8511746880,问下以后真的会出现像刀剑第一季的脑机吗,一人走人间,2023-7-31
11,老哥们谁有第二季的资源，最好是百度网盘的,/p/8549094124,rt，谢谢了,丁仪和他...,2023-8-16
43,蚌埠住了8u们，什么慢脚低能,/p/8436734509,有牛就不算纯爱，纯爱的定义都没搞懂就瞎叫唤,贴吧用户_...,2023-8-17
0,卡关了，谁来帮帮我,/p/8553786666,拿psv玩失落之歌，到阴影中的少女那章，打完3个洞窟以后，他那个风场没开啊，地图的目标显示我让我去一开始的洞窟，进去之后又告诉我门锁住了，怎么打啊？？,贴吧用户_...,2023-8-16
12,畫集+特典set到了，炫耀一下,/p/8551085732,亞總好美 abec吾之卡密,是歆云呀,2023-8-16
14,求小说观看顺序,/p/8530782377,最近入手了一套小说1～26 进击1～8 进击看到谐谑曲 准备看1～26了 光看月之摇篮有点懵 本人看完了所以tv集 所以从第几册开始看可以接上月摇 还有ur篇 还有问一下27以及进击9啥时候上 日本那边川原烁主线还有进击写哪了,原神铁道...,2023-8-16
6,一点点感想,/p/8440727113,我认为桐人其实没什么值得非议的，亚丝娜是他两年浮游城中帮助他生活下去最大的人，是无可替代的真正伴侣。而爱丽丝代表着桐人的理想，他的理想就是促进现实与虚拟的融合，讲到底现在的桐人内心也还是那个为了虚拟世界而活的星王。而爱丽丝就是一个促进交融的契机，所以桐人才会特别看重她，这还不算上他挂机期间爱丽丝对他的恩情。你别看桐人对哪个女生都好，其实大部分都是玩家之间的友情，而爱丽丝寄托着他对未来的期望，亚丝娜,Liangmm5522,2023-8-15
4,提问，小桐人在underworld有父母吗？,/p/8551352998,,Alice,2023-8-15
57,超電撃文庫展 abec的SAO新绘,/p/8547600095,,阳光下的...,2023-8-14
10,abec 超电击文库展 新图,/p/8547594524,abec 卡密,星夜咏叹,2023-8-14
5,无星之夜和暮色黄昏按顺序应该看完哪个看,/p/8550065554,,二三一一...,2023-8-14
7,大家猜猜看，BLE ACH中f的声优是刀剑中的谁？？？,/p/8549175098,,宇智波莉...,2023-8-14
17,吐槽g川原,/p/8540468473,g川原，就真是没法形容了，同时开好几本书，整的没本写的都贼慢，最想看的进击篇第八卷快一年了吧，第九卷还一点消息没有，啊啊啊啊啊啊！气死了！,qwq的瑕,2023-8-14
34,为什么短剑表示的并不强势,/p/8518713564,发现刀剑里的强者基本上都在用长剑和大剑类的。 按理来说短剑这种攻速快移速也快的武器，不应该没有特别强的人呀 那些用重武器的都能丢一个技能立马撤走，短剑就不能这么玩啦？ 而且刀剑的设定里短剑本来就是突进强袭位，好多剑技都是有瞬间接近目标的能力的，不应该能更好的在boss战中拉扯吗,晓零菜,2023-8-14
11,女神 亚思娜,/p/8479554533,刀剑神域妹子套,木水mszy2021,2023-8-14
12,这也长得太像了,/p/8528189844,,忘川河老...,2023-8-14
9,,/p/8528234884,有没有大佬有原图求原图阿里嘎多,傲娇琴,2023-8-14
1,收藏吧很难找,/p/8550024385,才开的新区，不一样的体验，苹果安卓电脑平板四端互通，都可以玩，进去带氛围，其他我来负责，楼下找我去最顶级（苮）（俠）（手）（游）,贴吧用户_...,2023-8-14
138,[汇总]艾恩格朗特目前已知BOSS资料,/p/4566108965,在此之前，也有不少人做过此类盘点，我会将我手上的资料与看到的资料进行汇总，感谢前辈们的收集,翼走天下,2023-8-13
36,求助亚丝娜头发是什么颜色,/p/8537329208,比栗色亮一点黄一点是啥色,横眉冷对...,2023-8-13
21,最近在补刀剑爱丽丝篇，有个问题想请教一下,/p/8526588029,为什么诗乃的弓在这会变成枪啊？,阿西iii,2023-8-13
106,小说有写sao颜值第一的玩家是谁吗,/p/8527486641,亚丝娜前五名，那大概率不是第一了,王牌飞行...,2023-8-13
2,心血来潮，看刀剑刀剑最新一部动画对应第几卷?,/p/8548167127,心血来潮，看刀剑刀剑最新一部动画对应第几卷?,果海鸟cp,2023-8-12
2,这个脚是不是画崩了,/p/8545498508,如题，这个脚画的。。,星星之火A...,2023-8-12
15,寻找记忆的美图,/p/8408278020,小时候看过的一张图，怎么也找不到了，寻求8u的帮助，，大概是亚丝娜站着，有点仰视的感觉，整体色调较暗，一只手拉着手胖次特别色，好像是裸足,🈚️id🈚️,2023-8-12
3,这算不算全套刀剑神域漫画了,/p/8547388592,日版很多本刀剑神域漫画,阿宙啊,2023-8-12
3,挡刀我记得是突破系统限制了啊，跟项链有什么关系啊,/p/8459685715,项链等级也才五级，管理员给的麻痹应该是最高的吧,结城明日...,2023-8-12
2,万能的吧友有没有这图的无字版,/p/8459799034,,余吃故事,2023-8-12
11,,/p/8545386983,,祁柒七,2023-8-12
2,.....,/p/8543895721,"我看完异界战争篇那一段删除亚丝娜在UR世界两百年记忆这里其实也是一个伏笔,因为ur世界本身而言就不是一个游戏是培养灵魂的地方那怕外面删了里面的世界也未必删的干净而且新的UR篇到最后也有可能是一个桐亚熟悉的人把这段记忆给亚丝娜,而且后面的剧情谁也不知道作者这么写可能后面又跳出来一个女儿给亚丝娜记忆呢",秋芐,2023-8-12
6,兄弟们，问个动漫设定,/p/8543781165,我记得第一集说过被关在游戏里的人在医院打营养液好像是说最多能活两年 是不是有这个设定,三叶虫cy,2023-8-12
